indx,name,version,oname,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,new,portrait,bug,predicted_bug
10,org.apache.tools.ant.taskdefs.Mkdir,1.3,org.apache.tools.ant.taskdefs.Mkdir,3,3,0,3,14,1,0,3,3,0.5,84,1,0,0.948717949,0.666666667,1,1,26.66666667,1,0.6667,1,0.000365,1,0.38624752
11,org.apache.tools.ant.taskdefs.Exec,1.3,org.apache.tools.ant.taskdefs.Exec,10,3,0,5,41,21,1,5,7,0.793650794,360,1,0,0.804347826,0.45,0,0,34.3,2,1.1,1,0.066141,0,0.6731378
12,org.apache.tools.ant.AntClassLoader,1.3,org.apache.tools.ant.AntClassLoader,17,2,0,9,64,76,7,2,9,0.879166667,713,0.6,2,0.708333333,0.339285714,1,3,40.05882353,9,1.4118,1,0.019925,2,1.0651987
13,org.apache.tools.ant.types.EnumeratedAttribute,1.3,org.apache.tools.ant.types.EnumeratedAttribute,5,1,5,12,11,8,11,1,5,0.75,59,1,0,0,0.7,0,0,10.6,5,1.6,1,0.001147,0,0.41460556
14,org.apache.tools.ant.XmlLogger,1.3,org.apache.tools.ant.XmlLogger,10,1,0,9,49,1,0,9,8,0.920634921,382,1,0,0,0.833333333,0,0,35.1,4,1.9,1,0.001606,0,0.7087978
15,org.apache.tools.ant.taskdefs.Rmic,1.3,org.apache.tools.ant.taskdefs.Rmic,22,4,0,16,72,165,1,16,16,0.904761905,675,1,1,0.787878788,0.227272727,3,3,29.04545455,4,1.2273,1,0.013306,1,1.5630187
16,org.apache.tools.ant.util.regexp.JakartaRegexpMatcher,1.3,org.apache.tools.ant.util.regexp.JakartaRegexpMatcher,5,1,0,4,13,0,0,4,5,0.5,65,1,0,0,0.8,0,0,11.6,3,1.2,1,0.000122,0,0.36937618
17,org.apache.tools.ant.types.DataType,1.3,org.apache.tools.ant.types.DataType,9,1,4,8,15,18,5,3,5,0.708333333,98,1,1,0,0.288888889,0,0,9.555555556,2,1,1,0.110064,0,0.46910965
18,org.apache.tools.ant.taskdefs.Get,1.3,org.apache.tools.ant.taskdefs.Get,8,3,0,6,46,10,0,6,7,0.771428571,394,1,0,0.840909091,0.375,1,1,47.625,2,1,1,0.002607,0,0.683906
19,org.apache.tools.ant.taskdefs.Zip,1.3,org.apache.tools.ant.taskdefs.Zip,22,4,1,15,104,185,2,13,8,0.839285714,1180,1,0,0.795918367,0.180272109,3,3,52.27272727,3,1.0455,1,0.009546,3,1.7622523
20,org.apache.tools.ant.taskdefs.LogOutputStream,1.3,org.apache.tools.ant.taskdefs.LogOutputStream,7,2,1,8,15,1,7,1,4,0.583333333,92,1,1,0.454545455,0.464285714,1,1,11.57142857,1,0.8571,1,0.004114,0,0.44567668
21,org.apache.tools.ant.DirectoryScanner,1.3,org.apache.tools.ant.DirectoryScanner,23,1,1,22,51,181,20,2,14,0.731404959,1407,1,0,0,0.290909091,0,0,59.69565217,35,5.8696,1,0.154318,0,1.3934896
22,org.apache.tools.ant.taskdefs.JikesOutputParser,1.3,org.apache.tools.ant.taskdefs.JikesOutputParser,12,1,0,3,21,44,1,2,5,0.805194805,147,1,1,0,0.261904762,0,0,10.66666667,4,1.25,1,0.000487,0,0.5318896
23,org.apache.tools.ant.taskdefs.Tstamp,1.3,org.apache.tools.ant.taskdefs.Tstamp,3,3,0,5,17,0,1,5,3,0,91,1,0,0.948717949,1,0,0,29,1,0.6667,1,0.000365,0,0.4135269
24,org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,1.3,org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,3,1,0,8,16,3,1,7,1,2,125,0,0,0,0.444444444,0,0,40.66666667,1,0.6667,1,0.000365,0,0.40533775
25,org.apache.tools.ant.taskdefs.War,1.3,org.apache.tools.ant.taskdefs.War,9,6,0,7,33,28,0,7,6,0.8125,163,1,0,0.950617284,0.4,4,6,16.88888889,2,1,1,0.001715,0,0.70552605
26,org.apache.tools.ant.taskdefs.Echo,1.3,org.apache.tools.ant.taskdefs.Echo,7,3,0,7,22,0,0,7,7,0.625,147,1,0,0.860465116,0.342857143,1,1,19.42857143,5,1.4286,1,0.00061,0,0.53493696
27,org.apache.tools.ant.types.FileSet,1.3,org.apache.tools.ant.types.FileSet,16,3,2,24,56,0,16,8,14,0.6,353,1,1,0.681818182,0.2265625,1,1,20.8125,4,1.75,1,0.186373,1,0.9966414
28,org.apache.tools.ant.taskdefs.Available,1.3,org.apache.tools.ant.taskdefs.Available,13,3,0,7,35,52,0,7,10,0.869047619,273,1,2,0.755102041,0.353846154,1,1,19.46153846,6,1.6923,1,0.007934,0,0.8043125
29,org.apache.tools.ant.Main,1.3,org.apache.tools.ant.Main,14,1,0,7,82,65,0,7,1,0.816568047,1253,0.846153846,0,0,0.169642857,0,0,87.57142857,4,2.1429,1,0.004212,1,1.0343475
30,org.apache.tools.ant.UnknownElement,1.3,org.apache.tools.ant.UnknownElement,6,3,0,10,33,0,3,8,5,0.466666667,198,1,1,0.880952381,0.333333333,2,4,31.5,2,1,1,0.003383,3,0.65905577
31,org.apache.tools.ant.taskdefs.Transform,1.3,org.apache.tools.ant.taskdefs.Transform,9,5,0,12,36,0,0,12,4,0.525,375,1,3,0.930434783,0.4,2,4,40.11111111,11,2.4444,1,0.002612,0,0.7652608
32,org.apache.tools.ant.taskdefs.Rename,1.3,org.apache.tools.ant.taskdefs.Rename,5,3,0,4,18,0,0,4,5,0.666666667,107,1,0,0.902439024,0.8,1,1,19.8,1,0.8,1,0.001102,0,0.45099282
33,org.apache.tools.ant.util.regexp.RegexpMatcherFactory,1.3,org.apache.tools.ant.util.regexp.RegexpMatcherFactory,3,1,0,3,9,3,1,2,2,2,43,0,0,0,0.666666667,0,0,13.33333333,1,0.6667,1,0.000122,0,0.30872965
34,org.apache.tools.ant.taskdefs.Property,1.3,org.apache.tools.ant.taskdefs.Property,27,3,0,11,83,291,2,9,20,0.889423077,658,1,2,0.587301587,0.185185185,0,0,23.07407407,11,1.9259,1,0.013892,2,1.689283
35,org.apache.tools.ant.taskdefs.Ant,1.3,org.apache.tools.ant.taskdefs.Ant,10,3,0,9,70,1,1,8,8,0.703703704,440,0.666666667,1,0.804347826,0.466666667,1,1,42.4,6,1.9,1,0.015575,0,0.8724805
36,org.apache.tools.ant.types.Path,1.3,org.apache.tools.ant.types.Path,24,3,0,27,80,182,20,8,18,0.565217391,693,0.666666667,2,0.588235294,0.154150198,2,5,27.75,13,2.2917,1,0.16932,0,1.7312416
37,org.apache.tools.ant.types.ZipScanner,1.3,org.apache.tools.ant.types.ZipScanner,6,2,0,3,11,13,2,1,6,0.8,68,1,0,0.924242424,0.444444444,1,5,10.16666667,3,1.5,1,0.001214,0,0.41870344
38,org.apache.tools.ant.taskdefs.SignJar,1.3,org.apache.tools.ant.taskdefs.SignJar,14,3,0,5,35,63,0,5,13,0.909090909,307,1,0,0.74,0.595238095,2,3,20.14285714,7,1.3571,1,0.006399,0,0.83483577
39,org.apache.tools.ant.taskdefs.Jikes,1.3,org.apache.tools.ant.taskdefs.Jikes,2,1,0,5,29,0,0,5,0,0,176,1,2,0,0.6,0,0,85.5,10,5,1,0.002894,0,0.31754714
40,org.apache.tools.ant.taskdefs.compilers.Jikes,1.3,org.apache.tools.ant.taskdefs.compilers.Jikes,2,2,0,9,23,1,1,8,2,2,204,0,0,0.958333333,1,1,1,101,1,0.5,1,0.011402,0,0.32567972
41,org.apache.tools.ant.util.regexp.JakartaOroMatcher,1.3,org.apache.tools.ant.util.regexp.JakartaOroMatcher,5,1,0,7,17,0,0,7,5,0.5,75,1,0,0,0.8,0,0,13.4,3,1.2,1,0.000122,0,0.42333406
42,org.apache.tools.ant.taskdefs.MatchingTask,1.3,org.apache.tools.ant.taskdefs.MatchingTask,12,3,11,18,37,0,12,6,11,0.454545455,164,1,1,0.770833333,0.416666667,0,0,12.5,6,1.5833,1,0.012524,0,0.70940834
43,org.apache.tools.ant.taskdefs.compilers.Javac13,1.3,org.apache.tools.ant.taskdefs.compilers.Javac13,2,2,0,8,17,1,1,7,2,2,97,1,0,0.958333333,1,0,0,47,1,0.5,1,0.006229,0,0.40117353
44,org.apache.tools.ant.ProjectHelper,1.3,org.apache.tools.ant.ProjectHelper,17,1,0,19,73,112,13,7,5,0.84375,502,1,1,0,0.170454545,0,0,28.17647059,2,1,1,0.001472,3,1.2580339
45,org.apache.tools.ant.taskdefs.Delete,1.3,org.apache.tools.ant.taskdefs.Delete,18,4,0,8,49,19,0,8,16,0.773109244,579,1,0,0.821052632,0.296296296,2,3,30.77777778,14,2.1111,1,0.00427,0,0.8988246
46,org.apache.tools.ant.taskdefs.SQLExec,1.3,org.apache.tools.ant.taskdefs.SQLExec,23,3,0,10,96,175,1,10,19,0.886363636,1034,1,2,0.627118644,0.191304348,3,3,43.08695652,7,1.3043,1,0.006299,0,1.6672769
47,org.apache.tools.ant.taskdefs.Javac,1.3,org.apache.tools.ant.taskdefs.Javac,42,4,1,19,74,741,7,13,40,0.948350072,550,1,4,0.655462185,0.210884354,3,3,11.69047619,2,1.2143,1,0.025167,0,1.3027748
48,org.apache.tools.ant.util.RegexpPatternMapper,1.3,org.apache.tools.ant.util.RegexpPatternMapper,5,1,0,4,20,0,0,4,4,0.333333333,144,1,1,0,0.9,0,0,27.2,5,2.2,1,0.000122,0,0.4160754
49,org.apache.tools.ant.types.Mapper,1.3,org.apache.tools.ant.types.Mapper,11,3,0,11,37,11,3,8,10,0.683333333,285,1,3,0.75,0.287878788,1,1,24.36363636,3,1.9091,1,0.010245,0,0.74905217
50,org.apache.tools.ant.Location,1.3,org.apache.tools.ant.Location,5,1,0,51,10,8,51,0,3,0.3125,69,0.75,1,0,0.583333333,0,0,12,3,0.6,1,0.000247,0,0.43630296
51,org.apache.tools.ant.taskdefs.GUnzip,1.3,org.apache.tools.ant.taskdefs.GUnzip,4,3,0,4,32,2,0,4,4,0.666666667,215,1,0,0.925,0.75,1,1,52.25,1,0.75,1,0.001102,0,0.5038594
52,org.apache.tools.ant.RuntimeConfigurable,1.3,org.apache.tools.ant.RuntimeConfigurable,9,1,0,8,25,10,5,3,7,0.6875,114,1,0,0,0.25,0,0,11.22222222,1,0.8889,1,0.002284,2,0.4879316
53,org.apache.tools.ant.BuildEvent,1.3,org.apache.tools.ant.BuildEvent,11,2,0,7,15,13,5,3,11,0.75,97,1,3,0.2,0.220779221,0,0,7.272727273,1,0.7273,1,0.004081,0,0.47786826
54,org.apache.tools.ant.taskdefs.JavacOutputStream,1.3,org.apache.tools.ant.taskdefs.JavacOutputStream,4,2,0,1,11,0,0,1,1,0.222222222,68,1,1,0.625,0.5,1,1,15.25,2,1,1,0.000365,0,0.3373707
55,org.apache.tools.ant.types.Reference,1.3,org.apache.tools.ant.types.Reference,5,1,0,16,12,4,14,2,5,0.25,55,1,0,0,0.533333333,0,0,9.8,1,0.6,1,0.108119,0,0.42004097
56,org.apache.tools.ant.taskdefs.Tar,1.3,org.apache.tools.ant.taskdefs.Tar,8,4,0,12,65,2,0,12,6,0.916666667,583,0.166666667,0,0.917647059,0.333333333,3,3,70.375,3,1.25,1,0.003022,0,0.89464796
57,org.apache.tools.ant.taskdefs.XSLTProcess,1.3,org.apache.tools.ant.taskdefs.XSLTProcess,13,4,0,7,55,30,1,7,10,0.802083333,590,1,1,0.866666667,0.5,2,2,43.76923077,1,0.9231,1,0.00425,0,0.8931359
58,org.apache.tools.ant.taskdefs.KeySubst,1.3,org.apache.tools.ant.taskdefs.KeySubst,8,3,0,3,40,10,0,3,8,0.714285714,271,1,0,0.840909091,0.40625,1,1,32.375,4,1.25,1,0.001102,0,0.6146731
59,org.apache.tools.ant.taskdefs.ExecuteJava,1.3,org.apache.tools.ant.taskdefs.ExecuteJava,6,1,0,7,26,0,1,6,6,0.65,185,1,3,0,0.305555556,0,0,29.16666667,1,0.8333,1,0.012358,0,0.50939643
60,org.apache.tools.ant.taskdefs.FixCRLF,1.3,org.apache.tools.ant.taskdefs.FixCRLF,8,4,0,7,34,6,0,7,8,0.761904762,626,1,0,0.917647059,0.4375,2,2,76.5,3,1.625,1,0.000854,3,0.6354139
61,org.apache.tools.ant.taskdefs.Execute,1.3,org.apache.tools.ant.taskdefs.Execute,21,1,0,25,77,162,10,16,14,0.7375,566,0.916666667,4,0,0.135,0,0,25.38095238,7,1.8095,1,0.054833,1,1.5153455
62,org.apache.tools.ant.taskdefs.Jar,1.3,org.apache.tools.ant.taskdefs.Jar,6,5,1,6,33,7,1,5,3,0.7,164,1,0,0.961538462,0.5,3,6,26,2,1,1,0.001591,0,0.6513543
63,org.apache.tools.ant.taskdefs.CallTarget,1.3,org.apache.tools.ant.taskdefs.CallTarget,5,3,0,7,20,2,0,7,5,0.625,76,1,1,0.902439024,0.6,2,2,13.8,2,1,1,0.008729,0,0.47758138
64,org.apache.tools.ant.Project,1.3,org.apache.tools.ant.Project,71,1,0,103,186,2247,99,7,55,0.97244898,2193,0.571428571,0,0,0.127731092,0,0,29.49295775,18,1.5775,1,0.15453,1,4.7248464
65,org.apache.tools.ant.taskdefs.Deltree,1.3,org.apache.tools.ant.taskdefs.Deltree,4,3,0,3,17,4,0,3,3,0.666666667,152,1,0,0.925,0.75,1,1,36.75,1,0.75,1,0.000365,0,0.41248173
66,org.apache.tools.ant.taskdefs.ExecuteWatchdog,1.3,org.apache.tools.ant.taskdefs.ExecuteWatchdog,8,1,0,6,25,0,5,1,7,0.6,169,1,0,0,0.416666667,0,0,19.5,7,1.875,1,0.022476,0,0.47612017
67,org.apache.tools.ant.util.SourceFileScanner,1.3,org.apache.tools.ant.util.SourceFileScanner,3,1,0,9,25,1,7,2,3,0,277,1,1,0,0.666666667,0,0,91,14,5.3333,1,0.004781,0,0.41472667
68,org.apache.tools.ant.types.ZipFileSet,1.3,org.apache.tools.ant.types.ZipFileSet,9,5,0,10,20,4,3,7,9,0.6875,110,1,0,0.919191919,0.388888889,2,7,10.77777778,3,1.2222,1,0.006645,0,0.5963433
69,org.apache.tools.ant.taskdefs.Copy,1.3,org.apache.tools.ant.taskdefs.Copy,17,3,1,12,64,52,1,11,13,0.793269231,642,1,1,0.698113208,0.242647059,1,1,36,11,2,1,0.00774,0,1.0791316
70,org.apache.tools.ant.types.Environment,1.3,org.apache.tools.ant.types.Environment,3,1,1,5,9,0,3,2,3,0,47,1,0,0,0.666666667,0,0,14.33333333,1,0.6667,1,0.006679,0,0.3208087
71,org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,1.3,org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,10,1,4,17,81,5,4,13,4,0.783625731,743,1,7,0,0.259259259,0,0,71.4,14,4.2,1,0.046807,1,1.0359094
72,org.apache.tools.ant.taskdefs.GZip,1.3,org.apache.tools.ant.taskdefs.GZip,6,3,0,4,25,11,0,4,4,0.8,157,1,0,0.880952381,0.4,2,2,24.83333333,1,0.8333,1,0.001102,0,0.53676146
73,org.apache.tools.ant.taskdefs.Touch,1.3,org.apache.tools.ant.taskdefs.Touch,8,3,0,7,32,8,3,4,5,0.738095238,300,0.833333333,0,0.860465116,0.357142857,1,1,35.75,1,0.75,1,0.002986,0,0.5914258
74,org.apache.tools.ant.taskdefs.compilers.Jvc,1.3,org.apache.tools.ant.taskdefs.compilers.Jvc,2,2,0,9,19,1,1,8,2,2,120,0,0,0.958333333,1,1,1,59,1,0.5,1,0.011506,0,0.41373485
75,org.apache.tools.ant.taskdefs.Taskdef,1.3,org.apache.tools.ant.taskdefs.Taskdef,8,3,0,8,25,14,1,7,8,0.714285714,157,1,1,0.840909091,0.375,0,0,18.25,2,1.125,1,0.004444,0,0.5881504
76,org.apache.tools.ant.taskdefs.ExecTask,1.3,org.apache.tools.ant.taskdefs.ExecTask,19,3,1,18,56,97,5,13,12,0.814814815,406,1,2,0.672727273,0.190789474,0,0,19.89473684,3,1.0526,1,0.018993,0,1.1592346
77,org.apache.tools.ant.taskdefs.Java,1.3,org.apache.tools.ant.taskdefs.Java,22,3,0,17,77,95,0,17,19,0.742857143,439,1,1,0.637931034,0.172727273,1,1,18.72727273,2,1,1,0.090536,0,1.2879528
78,org.apache.tools.ant.types.Commandline,1.3,org.apache.tools.ant.types.Commandline,19,1,0,23,46,65,22,3,17,0.416666667,448,1,0,0,0.289473684,0,0,22.47368421,16,2.4211,1,0.071016,0,1.0461417
79,org.apache.tools.ant.taskdefs.Replace,1.3,org.apache.tools.ant.taskdefs.Replace,19,4,0,8,69,91,2,8,13,0.777777778,632,1,2,0.8125,0.368421053,1,1,31.89473684,5,1.2632,1,0.001853,1,1.1865417
80,org.apache.tools.ant.taskdefs.Expand,1.3,org.apache.tools.ant.taskdefs.Expand,5,4,0,8,45,6,0,8,4,0.75,261,1,0,0.951219512,0.6,4,5,50.8,7,2,1,0.002413,0,0.73846686
81,org.apache.tools.ant.types.CommandlineJava,1.3,org.apache.tools.ant.types.CommandlineJava,21,1,0,9,47,48,1,8,21,0.68,277,1,4,0,0.30952381,0,0,11.95238095,7,1.4286,1,0.025502,1,0.8589595
82,org.apache.tools.ant.util.DOMElementWriter,1.3,org.apache.tools.ant.util.DOMElementWriter,5,1,0,1,35,4,1,0,4,0.583333333,354,1,0,0,0.5,0,0,69.2,8,3.2,1,0.00051,0,0.4304812
83,org.apache.tools.ant.taskdefs.Untar,1.3,org.apache.tools.ant.taskdefs.Untar,4,3,0,8,42,2,0,8,4,0.666666667,242,1,0,0.925,0.75,2,3,59,1,0.75,1,0.002159,0,0.6450969
84,org.apache.tools.ant.taskdefs.AntStructure,1.3,org.apache.tools.ant.taskdefs.AntStructure,8,3,0,6,55,24,0,6,3,0.80952381,643,0.5,0,0.840909091,0.303571429,0,0,78.625,3,1.25,1,0.000994,0,0.72351414
85,org.apache.tools.ant.taskdefs.PumpStreamHandler,1.3,org.apache.tools.ant.taskdefs.PumpStreamHandler,11,1,1,8,17,41,6,2,8,0.7,93,1,0,0,0.666666667,0,0,7.090909091,1,0.7273,1,0.000492,0,0.48134422
86,org.apache.tools.ant.PathTokenizer,1.3,org.apache.tools.ant.PathTokenizer,3,1,0,2,15,0,2,0,3,0.166666667,100,1,0,0,0.666666667,0,0,31.33333333,2,1,1,0.00049,0,0.31249446
87,org.apache.tools.ant.util.MergingMapper,1.3,org.apache.tools.ant.util.MergingMapper,4,1,0,4,5,0,3,1,4,0.333333333,24,1,0,0,0.875,0,0,4.75,1,0.75,1,0.001554,0,0.28267455
88,org.apache.tools.ant.taskdefs.GenerateKey,1.3,org.apache.tools.ant.taskdefs.GenerateKey,14,3,0,6,33,65,0,6,14,0.91025641,404,1,1,0.74,0.595238095,2,3,27,2,1,1,0.005831,0,0.8506855
89,org.apache.tools.ant.taskdefs.Filter,1.3,org.apache.tools.ant.taskdefs.Filter,6,3,0,4,24,5,0,4,5,0.733333333,153,1,0,0.880952381,0.5,0,0,24,1,0.8333,1,0.001106,0,0.48280203
90,org.apache.tools.ant.taskdefs.Chmod,1.3,org.apache.tools.ant.taskdefs.Chmod,14,5,0,10,43,15,0,10,12,0.615384615,168,1,1,0.891666667,0.392857143,3,5,10.85714286,5,1.3571,1,0.005895,0,0.7533817
91,org.apache.tools.ant.Target,1.3,org.apache.tools.ant.Target,19,1,0,18,47,97,16,5,16,0.833333333,273,1,1,0,0.305263158,0,0,13,3,1.4211,1,0.006849,1,0.94568276
92,org.apache.tools.ant.taskdefs.compilers.Javac12,1.3,org.apache.tools.ant.taskdefs.compilers.Javac12,3,2,0,8,18,3,1,7,2,1,132,0,0,0.92,0.5,0,0,42,1,0.6667,1,0.006229,0,0.43202662
93,org.apache.tools.ant.Task,1.3,org.apache.tools.ant.Task,19,1,34,78,23,119,75,5,16,0.873015873,125,1,4,0,0.218045113,0,0,5.210526316,2,1,1,0.058552,0,0.84260863
94,org.apache.tools.ant.taskdefs.UpToDate,1.3,org.apache.tools.ant.taskdefs.UpToDate,7,4,0,11,32,0,0,11,6,0.666666667,189,1,1,0.928571429,0.342857143,1,1,25.42857143,3,1.1429,1,0.005081,0,0.66362214
95,org.apache.tools.ant.TaskAdapter,1.3,org.apache.tools.ant.TaskAdapter,4,3,0,6,15,0,4,2,4,0.333333333,82,0,0,0.925,0.625,1,1,19.25,1,0.75,1,0.003235,0,0.41165334
96,org.apache.tools.ant.taskdefs.Copydir,1.3,org.apache.tools.ant.taskdefs.Copydir,8,4,0,6,35,4,0,6,7,0.714285714,265,1,0,0.917647059,0.46875,3,3,31.375,5,1.375,1,0.000734,0,0.6591479
97,org.apache.tools.ant.taskdefs.Javadoc,1.3,org.apache.tools.ant.taskdefs.Javadoc,65,3,0,21,155,1670,6,21,59,0.9171875,1504,1,5,0.37,0.244140625,3,3,21.83076923,10,1.5231,1,0.03199,0,3.0266035
98,org.apache.tools.ant.BuildException,1.3,org.apache.tools.ant.BuildException,14,4,0,99,28,0,98,1,14,0.384615385,153,1,1,0.65,0.333333333,1,2,9.785714286,2,0.6429,1,0.013739,0,0.8408811
99,org.apache.tools.ant.IntrospectionHelper,1.3,org.apache.tools.ant.IntrospectionHelper,14,1,0,24,63,63,20,20,9,0.841346154,822,0.4375,0,0,0.333333333,0,0,56.57142857,24,2.7857,1,0.001306,2,1.219948
100,org.apache.tools.ant.NoBannerLogger,1.3,org.apache.tools.ant.NoBannerLogger,4,2,0,3,16,0,0,3,4,0.333333333,59,1,0,0.842105263,0.875,1,1,13.5,5,1.75,1,0.00049,0,0.38536605
101,org.apache.tools.ant.taskdefs.PathConvert,1.4,org.apache.tools.ant.taskdefs.PathConvert,14,3,0,8,41,33,1,8,10,0.760683761,385,1,2,0.74,0.357142857,1,1,25.85714286,4,1.5714,1,0.003459,0,0.81533074
102,org.apache.tools.ant.taskdefs.Untar,1.4,org.apache.tools.ant.taskdefs.Untar,5,3,0,9,43,0,0,9,5,0.666666667,276,1,0,0.902439024,0.533333333,2,3,53.6,1,0.8,0,0.133642,0,0.67776716
103,org.apache.tools.ant.taskdefs.PumpStreamHandler,1.4,org.apache.tools.ant.taskdefs.PumpStreamHandler,13,1,1,8,20,46,6,2,8,0.666666667,111,1,0,0,0.615384615,0,0,7.230769231,1,0.7692,0,0.127961,0,0.5192269
104,org.apache.tools.ant.taskdefs.Copydir,1.4,org.apache.tools.ant.taskdefs.Copydir,8,4,0,7,35,4,0,7,7,0.714285714,265,1,0,0.917647059,0.46875,3,3,31.375,5,1.375,0,0.129055,0,0.67564994
105,org.apache.tools.ant.taskdefs.JikesOutputParser,1.4,org.apache.tools.ant.taskdefs.JikesOutputParser,12,1,0,3,21,44,1,2,5,0.805194805,147,1,1,0,0.261904762,0,0,10.66666667,4,1.25,0,0.127795,0,0.5331127
106,org.apache.tools.ant.taskdefs.compilers.Sj,1.4,org.apache.tools.ant.taskdefs.compilers.Sj,2,2,0,6,9,1,1,5,2,2,33,0,0,0.958333333,1,0,0,15.5,1,0.5,1,0.007308,0,0.33670375
107,org.apache.tools.ant.taskdefs.Filter,1.4,org.apache.tools.ant.taskdefs.Filter,6,3,0,6,16,5,0,6,5,0.733333333,95,1,0,0.880952381,0.5,0,0,14.33333333,1,0.8333,0,0.129776,0,0.45585728
108,org.apache.tools.ant.taskdefs.ExecuteOn,1.4,org.apache.tools.ant.taskdefs.ExecuteOn,15,4,2,18,55,37,2,16,9,0.728571429,730,1,4,0.846153846,0.193333333,3,7,47,12,2.4667,0,0.134268,1,1.1491894
109,org.apache.tools.ant.taskdefs.Echo,1.4,org.apache.tools.ant.taskdefs.Echo,7,3,0,8,22,0,0,8,7,0.625,147,1,0,0.860465116,0.342857143,1,1,19.42857143,5,1.4286,0,0.127798,0,0.55142385
110,org.apache.tools.ant.taskdefs.SQLExec,1.4,org.apache.tools.ant.taskdefs.SQLExec,26,3,0,15,108,233,1,15,22,0.902608696,1156,1,2,0.596774194,0.16025641,3,3,42.57692308,7,1.2692,0,0.13128,1,1.991499
111,org.apache.tools.ant.taskdefs.Parallel,1.4,org.apache.tools.ant.taskdefs.Parallel,3,3,0,5,22,0,1,5,3,0,149,1,0,0.948717949,0.666666667,0,0,48.33333333,1,0.6667,1,7.70E-05,0,0.4222647
112,org.apache.tools.ant.types.Commandline,1.4,org.apache.tools.ant.types.Commandline,19,1,0,30,46,65,29,3,17,0.416666667,448,1,0,0,0.289473684,0,0,22.47368421,16,2.4211,0,0.146936,0,1.1156602
113,org.apache.tools.ant.taskdefs.DependSet,1.4,org.apache.tools.ant.taskdefs.DependSet,6,4,0,8,34,0,0,8,6,0.6,493,1,0,0.939759036,0.555555556,1,1,80.5,1,0.8333,1,0.002218,2,0.58262
114,org.apache.tools.ant.taskdefs.LogStreamHandler,1.4,org.apache.tools.ant.taskdefs.LogStreamHandler,2,2,0,10,9,1,6,4,2,2,31,0,0,0.923076923,0.666666667,0,0,14.5,1,0.5,1,0.000154,0,0.35460532
115,org.apache.tools.ant.types.Path,1.4,org.apache.tools.ant.types.Path,26,3,0,33,80,201,26,8,20,0.573333333,719,0.666666667,2,0.566037736,0.152727273,2,11,26.53846154,14,2.2692,0,0.166534,0,1.8664861
