PROJECT_VERSION,CLASS_NAME,DEFECT_CNT
antlr-4.2-complete,org.antlr.v4.runtime.BufferedTokenStream,1
antlr-4.2-complete,org.antlr.v4.runtime.Recognizer,1
antlr-4.2-complete,org.antlr.v4.parse.TokenVocabParser,1
antlr-4.2-complete,org.antlr.v4.semantics.BasicSemanticChecks,3
antlr-4.2-complete,org.antlr.v4.semantics.RuleCollector,1
antlr-4.2-complete,org.antlr.v4.semantics.SymbolChecks,1
antlr-4.2-complete,org.antlr.v4.semantics.SymbolCollector,1
antlr-4.2-complete,org.antlr.v4.tool.Alternative,1
antlr-4.2-complete,org.antlr.v4.tool.BuildDependencyGenerator,1
antlr-4.2-complete,org.antlr.v4.tool.Grammar,2
antlr-4.2-complete,org.antlr.v4.tool.Rule,1
antlr-4.2-complete,org.antlr.v4.runtime.atn.LexerATNSimulator,1
antlr-4.2-complete,org.antlr.v4.runtime.atn.ParserATNSimulator,2
antlr-4.2-complete,org.antlr.v4.runtime.misc.IntervalSet,1
antlr-4.2-complete,org.antlr.v4.codegen.model.ListenerFile,1
antlr-4.2-complete,org.antlr.v4.codegen.model.RuleFunction,1
antlr-4.2-complete,org.antlr.v4.codegen.model.VisitorFile,1
antlr-4.2-complete,org.antlr.v4.ToolUndefChecker,1
antlr-4.2-complete,org.antlr.v4.tool.ast.GrammarAST,1
antlr-4.2-complete,org.antlr.v4.tool.Grammar,1
antlr-4.4-complete,org.antlr.v4.runtime.ANTLRInputStream,1
antlr-4.4-complete,org.antlr.v4.runtime.UnbufferedCharStream,1
antlr-4.4-complete,org.antlr.v4.analysis.LeftRecursiveRuleAnalyzer,1
antlr-4.4-complete,org.antlr.v4.analysis.LeftRecursiveRuleTransformer,1
antlr-4.4-complete,org.antlr.v4.tool.Grammar,1
antlr-4.4-complete,org.antlr.v4.tool.GrammarTransformPipeline,1
antlr-4.5-complete,org.antlr.v4.runtime.Parser,3
antlr-4.5-complete,org.antlr.v4.runtime.ParserRuleContext,1
antlr-4.5-complete,org.antlr.v4.analysis.LeftRecursiveRuleAnalyzer,1
antlr-4.5-complete,org.antlr.v4.analysis.LeftRecursiveRuleTransformer,2
antlr-4.5-complete,org.antlr.v4.semantics.SemanticPipeline,2
antlr-4.5-complete,org.antlr.v4.runtime.atn.ParserATNSimulator,1
antlr-4.5-complete,org.antlr.v4.runtime.dfa.DFA,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.common.audit.AuditableListener,2
broadleaf-common-2.0.7-ga,org.broadleafcommerce.common.money.Money,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.common.web.BroadleafThymeleafViewResolver,2
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.field.domain.FieldEnumerationImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.field.domain.FieldGroupImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.file.domain.StaticAssetStorageImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.file.service.StaticAssetServiceImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.file.service.StaticAssetStorageServiceImpl,2
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.page.domain.PageFieldImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.page.domain.PageItemCriteriaImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.page.domain.PageRuleImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.structure.domain.StructuredContentFieldImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.structure.domain.StructuredContentItemCriteriaImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.structure.domain.StructuredContentRuleImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.structure.service.StructuredContentServiceImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.openadmin.server.dao.DynamicEntityDaoImpl,2
broadleaf-common-2.0.7-ga,org.broadleafcommerce.openadmin.server.dao.SessionFactoryChangeListener,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.openadmin.server.service.DynamicEntityRemoteService,4
broadleaf-common-2.0.7-ga,org.broadleafcommerce.common.email.service.EmailServiceImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.common.extensibility.jpa.MergePersistenceUnitManager,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.common.util.sql.HibernateToolTask,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.common.web.controller.BroadleafControllerUtility,2
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.catalog.dao.CategoryDaoImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.catalog.domain.CategoryImpl,4
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.catalog.domain.CategoryProductXrefImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.catalog.domain.ProductImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.catalog.domain.SkuFeeImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.catalog.domain.SkuImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.inventory.service.AvailabilityServiceImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.offer.dao.OfferAuditDaoImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.offer.domain.OfferAuditImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.offer.domain.OfferCodeImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.offer.domain.OfferImpl,3
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.offer.domain.OfferItemCriteriaImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.offer.domain.OfferRuleImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.offer.service.OfferServiceImpl,2
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.order.domain.FulfillmentGroupImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.order.domain.FulfillmentOptionImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.order.domain.OrderImpl,2
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.order.domain.OrderItemImpl,2
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.order.service.MergeCartServiceImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.order.service.OrderServiceImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.order.strategy.FulfillmentGroupItemStrategyImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.payment.domain.PaymentInfoImpl,4
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.payment.domain.PaymentResponseItemImpl,5
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.payment.service.CreditCardPaymentInfoFactoryImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.profile.core.dao.IdGenerationDaoImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.admin.server.service.handler.CategoryCustomPersistenceHandler,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler,4
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.admin.server.handler.PageItemCriteriaCustomPersistenceHandler,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.admin.server.handler.PageTemplateCustomPersistenceHandler,4
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.admin.server.handler.PendingSandBoxItemCustomPersistenceHandler,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.admin.server.handler.SandBoxItemCustomPersistenceHandler,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.admin.server.handler.StructuredContentItemCriteriaCustomPersistenceHandler,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.admin.server.handler.StructuredContentTypeCustomPersistenceHandler,4
broadleaf-common-2.0.7-ga,org.broadleafcommerce.cms.admin.server.handler.TimeDTOCustomPersistenceHandler,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.openadmin.server.security.dao.AdminPermissionDaoImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.openadmin.server.security.domain.AdminRoleImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.openadmin.server.security.handler.AdminPermissionCustomPersistenceHandler,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.openadmin.server.security.service.AdminSecurityServiceImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.openadmin.server.service.persistence.PersistenceManagerImpl,3
broadleaf-common-2.0.7-ga,org.broadleafcommerce.openadmin.server.service.persistence.module.BasicPersistenceModule,7
broadleaf-common-2.0.7-ga,org.broadleafcommerce.openadmin.server.service.persistence.module.FieldManager,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.openadmin.server.service.persistence.module.MapStructurePersistenceModule,4
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.web.api.wrapper.CategoryWrapper,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.web.api.wrapper.ProductWrapper,2
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.web.api.wrapper.SkuWrapper,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.web.controller.checkout.BroadleafCheckoutController,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.offer.service.processor.AbstractBaseProcessor,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.offer.service.processor.FulfillmentGroupOfferProcessorImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.offer.service.processor.ItemOfferProcessorImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.offer.service.processor.OrderOfferProcessorImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.offer.service.workflow.RecordOfferUsageActivity,2
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.offer.service.workflow.VerifyCustomerMaxOfferUsesActivity,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.search.service.solr.SolrHelperServiceImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.search.service.solr.SolrIndexServiceImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.search.service.solr.SolrSearchServiceImpl,3
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.catalog.domain.CategoryImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.offer.service.discount.domain.PromotableCandidateItemOfferImpl,1
broadleaf-common-2.0.7-ga,org.broadleafcommerce.core.pricing.service.fulfillment.provider.FixedPriceFulfillmentPricingProvider,3
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.audit.AdminAuditableListener,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.dto.ForeignKey,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.dto.MapMetadata,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.dto.MapStructure,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.dto.PersistencePackage,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.dto.PersistencePerspective,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.dto.SimpleValueMapStructure,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.security.AdminSandBoxFilter,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.exception.ServiceException,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.money.Money,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.time.SystemTime,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.util.TransactionUtils,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.web.BroadleafRequestContext,3
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.web.BroadleafRequestInterceptor,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.cms.file.service.StaticAssetServiceImpl,4
broadleaf-common-2.4.0-GA,org.broadleafcommerce.cms.page.service.PageServiceImpl,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.cms.structure.service.StructuredContentServiceImpl,3
broadleaf-common-2.4.0-GA,org.broadleafcommerce.cms.url.service.URLHandlerServiceImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.cms.web.processor.ContentProcessor,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.dto.override.FieldMetadataOverride,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.server.dao.FieldInfo,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.server.domain.PersistencePackageRequest,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.server.factory.PersistencePackageFactoryImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.server.service.AdminEntityServiceImpl,5
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.server.service.DynamicEntityRemoteService,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.compatibility.JSCompatibilityRequestWrapper,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.controller.AdminLoginController,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.controller.AdminTranslationController,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.controller.AdminTranslationControllerExtensionManager,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.filter.AdminCsrfFilter,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.filter.BroadleafAdminRequestProcessor,3
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.processor.ErrorsProcessor,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.rulebuilder.DataDTOToMVELTranslator,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.service.FormBuilderServiceImpl,4
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.config.dao.ModuleConfigurationDaoImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.config.service.ModuleConfigurationServiceImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.email.service.EmailServiceImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.extensibility.context.StandardConfigLocations,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.extensibility.jpa.MergePersistenceUnitManager,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.i18n.service.TranslationServiceImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.media.domain.MediaDto,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.presentation.override.PropertyType,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.resource.service.ResourceBundlingServiceImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.resource.service.ResourceMinificationServiceImpl,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.sandbox.dao.SandBoxDaoImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.security.service.ExploitProtectionServiceImpl,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.common.web.resource.BroadleafResourceHttpRequestHandler,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.web.processor.GoogleAnalyticsProcessor,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.web.processor.ProductOptionValueProcessor,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.web.service.AbstractUpdateCartServiceExtensionHandler,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.web.service.UpdateCartServiceImpl,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.catalog.dao.CategoryDaoImpl,3
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.catalog.dao.ProductDaoImpl,4
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.catalog.domain.CategoryAttributeImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.catalog.domain.CategoryImpl,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.catalog.domain.CategoryProductXrefImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.catalog.domain.ProductAttributeImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.catalog.domain.ProductImpl,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.catalog.domain.SkuAttributeImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.catalog.domain.SkuImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.catalog.service.CatalogServiceImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.checkout.service.CheckoutServiceImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.offer.dao.OfferAuditDaoImpl,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.offer.dao.OfferDaoImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.offer.domain.OfferAuditImpl,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.offer.domain.OfferCodeImpl,3
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.offer.domain.OfferImpl,3
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.offer.service.OfferServiceImpl,4
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.order.dao.OrderDaoImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.order.domain.BundleOrderItemImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.order.domain.DiscreteOrderItemImpl,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.order.domain.FulfillmentGroupImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.order.domain.FulfillmentOptionImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.order.domain.OrderImpl,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.order.domain.OrderItemAttributeImpl,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.order.domain.OrderItemImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.order.domain.OrderItemPriceDetailImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.order.service.OrderServiceImpl,3
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.order.strategy.FulfillmentGroupItemStrategyImpl,3
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.payment.domain.PaymentResponseItemImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.search.dao.SearchFacetDaoImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.search.service.DatabaseSearchServiceImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.store.domain.StoreImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.core.workflow.state.ActivityStateManagerImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.profile.web.controller.RegisterCustomerController,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.profile.web.core.CustomerState,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.profile.core.domain.CustomerAttributeImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.profile.core.domain.CustomerImpl,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.profile.core.service.AddressServiceImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.profile.core.service.CustomerServiceImpl,5
broadleaf-common-2.4.0-GA,org.broadleafcommerce.profile.core.service.UserDetailsServiceImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.admin.server.service.handler.ProductCustomPersistenceHandler,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.admin.server.service.handler.SkuCustomPersistenceHandler,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.admin.server.service.handler.SkuRestrictionFactoryImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.admin.web.controller.entity.AdminOfferController,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.admin.web.controller.entity.AdminProductController,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.admin.server.service.persistence.module.provider.SkuPricingPersistenceProvider,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.cms.admin.server.handler.PageTemplateCustomPersistenceHandler,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.cms.admin.server.handler.StructuredContentTypeCustomPersistenceHandler,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.cms.admin.web.controller.AdminAssetController,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.cms.admin.web.controller.AdminAssetUploadController,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.cms.admin.web.controller.AdminStructuredContentController,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.server.security.dao.AdminPermissionDaoImpl,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.server.security.domain.AdminUserImpl,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.server.security.handler.AdminUserCustomPersistenceHandler,3
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.server.security.service.AdminSecurityServiceImpl,4
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.server.security.service.AdminUserDetailsServiceImpl,3
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.server.service.persistence.PersistenceManagerImpl,2
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.controller.entity.AdminBasicEntityController,4
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.form.component.ListGrid,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.form.entity.ComboField,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.form.entity.EntityForm,3
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.form.entity.EntityFormValidator,1
broadleaf-common-2.4.0-GA,org.broadleafcommerce.openadmin.web.form.entity.FieldGroup,1
