GranuleSrc;GranuleDst;Type;Arity;
org.apache.tools.ant.util.regexp.RegexpMatcherFactory;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Javadoc;org.apache.tools.ant.types.Reference;UseLink;1;
org.apache.tools.ant.taskdefs.Jar;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Chmod;org.apache.tools.ant.taskdefs.ExecTask;UseLink;1;
org.apache.tools.ant.taskdefs.Exec;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.XmlLogger;org.apache.tools.ant.Target;UseLink;1;
org.apache.tools.ant.taskdefs.XSLTProcess;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.LogStreamHandler;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.ProjectHelper;org.apache.tools.ant.TaskAdapter;UseLink;1;
org.apache.tools.ant.taskdefs.Javadoc;org.apache.tools.ant.taskdefs.LogOutputStream;UseLink;1;
org.apache.tools.ant.taskdefs.Delete;org.apache.tools.ant.types.FileSet;UseLink;1;
org.apache.tools.ant.taskdefs.Property;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.mail.MailMessage;org.apache.tools.mail.SmtpResponseReader;UseLink;1;
org.apache.tools.ant.BuildException;org.apache.tools.ant.Location;UseLink;1;
org.apache.tools.ant.UnknownElement;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.types.FileSet;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.tar.TarInputStream;org.apache.tools.tar.TarBuffer;UseLink;1;
org.apache.tools.ant.taskdefs.Cvs;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.XmlLogger;org.apache.tools.ant.util.DOMElementWriter;UseLink;1;
org.apache.tools.ant.taskdefs.GUnzip;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.SignJar;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.NoBannerLogger;org.apache.tools.ant.BuildEvent;UseLink;1;
org.apache.tools.ant.taskdefs.Javac;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.UnknownElement;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.GenerateKey;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.UpToDate;org.apache.tools.ant.types.FileSet;UseLink;1;
org.apache.tools.ant.taskdefs.Rename;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;org.apache.tools.ant.Project;Association;1;
org.apache.tools.ant.taskdefs.Zip;org.apache.tools.ant.FileScanner;UseLink;1;
org.apache.tools.ant.taskdefs.Echo;org.apache.tools.ant.types.EnumeratedAttribute;UseLink;1;
org.apache.tools.ant.types.Mapper;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Available;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Mkdir;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.Javac13;org.apache.tools.ant.taskdefs.LogOutputStream;UseLink;1;
org.apache.tools.ant.taskdefs.Copyfile;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.types.CommandlineJava;org.apache.tools.ant.types.Path;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory;org.apache.tools.ant.taskdefs.compilers.Javac13;UseLink;1;
org.apache.tools.ant.taskdefs.Available;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.XmlLogger;org.apache.tools.ant.BuildListener;Inheritance;1;
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;org.apache.tools.ant.taskdefs.Javac;UseLink;1;
org.apache.tools.ant.taskdefs.Taskdef;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.BuildEvent;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.util.IdentityMapper;org.apache.tools.ant.util.FileNameMapper;Inheritance;1;
org.apache.tools.ant.taskdefs.Transform;org.apache.tools.ant.taskdefs.ExecTask;UseLink;1;
org.apache.tools.ant.taskdefs.Transform;org.apache.tools.ant.util.FileNameMapper;UseLink;1;
org.apache.tools.ant.types.ZipFileSet;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.Jar;org.apache.tools.ant.types.FileSet;UseLink;1;
org.apache.tools.ant.taskdefs.Taskdef;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.UnknownElement;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.JavacOutputStream;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.util.MergingMapper;org.apache.tools.ant.util.FileNameMapper;Inheritance;1;
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory;org.apache.tools.ant.taskdefs.compilers.Javac12;UseLink;1;
org.apache.tools.ant.taskdefs.Ant;org.apache.tools.ant.taskdefs.Property;UseLink;1;
org.apache.tools.ant.taskdefs.GZip;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.CompilerAdapter;org.apache.tools.ant.taskdefs.Javac;UseLink;1;
org.apache.tools.ant.AntClassLoader;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.CallTarget;org.apache.tools.ant.taskdefs.Property;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Transform;org.apache.tools.ant.util.SourceFileScanner;UseLink;1;
org.apache.tools.ant.taskdefs.Expand;org.apache.tools.ant.taskdefs.MatchingTask;Inheritance;1;
org.apache.tools.ant.taskdefs.Patch;org.apache.tools.ant.taskdefs.Execute;UseLink;1;
org.apache.tools.ant.types.Mapper;org.apache.tools.ant.types.DataType;UseLink;1;
org.apache.tools.ant.Task;org.apache.tools.ant.Project;Association;1;
org.apache.tools.ant.taskdefs.Exec;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Ant;org.apache.tools.ant.Target;UseLink;1;
org.apache.tools.ant.taskdefs.CallTarget;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.types.Mapper;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.util.RegexpPatternMapper;org.apache.tools.ant.util.regexp.RegexpMatcherFactory;UseLink;1;
org.apache.tools.ant.taskdefs.Delete;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.MatchingTask;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.types.CommandlineJava;org.apache.tools.ant.types.Environment;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.Javac12;org.apache.tools.ant.taskdefs.LogOutputStream;UseLink;1;
org.apache.tools.ant.taskdefs.Zip;org.apache.tools.ant.types.FileSet;UseLink;1;
org.apache.tools.ant.taskdefs.CallTarget;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.taskdefs.XSLTProcess;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Untar;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.Project;org.apache.tools.ant.PathTokenizer;UseLink;1;
org.apache.tools.ant.taskdefs.Cvs;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Property;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Available;org.apache.tools.ant.AntClassLoader;Association;1;
org.apache.tools.ant.RuntimeConfigurable;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Exec;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.XSLTProcess;org.apache.tools.ant.taskdefs.XSLTLiaison;UseLink;1;
org.apache.tools.ant.UnknownElement;org.apache.tools.ant.TaskAdapter;UseLink;1;
org.apache.tools.ant.taskdefs.MatchingTask;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.types.Mapper;org.apache.tools.ant.types.DataType;Inheritance;1;
org.apache.tools.ant.taskdefs.Cvs;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.taskdefs.GZip;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Property;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.BuildEvent;org.apache.tools.ant.Target;Association;1;
org.apache.tools.ant.types.ZipFileSet;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.RuntimeConfigurable;org.apache.tools.ant.ProjectHelper;UseLink;1;
org.apache.tools.ant.taskdefs.Untar;org.apache.tools.tar.TarInputStream;UseLink;1;
org.apache.tools.ant.taskdefs.Echo;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Rename;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.Project;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Transform;org.apache.tools.ant.types.Mapper;UseLink;1;
org.apache.tools.ant.taskdefs.UpToDate;org.apache.tools.ant.types.Mapper;Association;1;
org.apache.tools.ant.taskdefs.ExecTask;org.apache.tools.ant.taskdefs.PumpStreamHandler;UseLink;1;
org.apache.tools.ant.taskdefs.Taskdef;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.tar.TarEntry;org.apache.tools.tar.TarUtils;UseLink;1;
org.apache.tools.ant.TaskAdapter;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Mkdir;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.taskdefs.Chmod;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.types.ZipFileSet;org.apache.tools.ant.types.ZipScanner;UseLink;1;
org.apache.tools.ant.taskdefs.PumpStreamHandler;org.apache.tools.ant.taskdefs.ExecuteStreamHandler;Inheritance;1;
org.apache.tools.ant.taskdefs.Delete;org.apache.tools.ant.DirectoryScanner;UseLink;1;
org.apache.tools.ant.taskdefs.GenerateKey;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.types.ZipScanner;org.apache.tools.ant.DirectoryScanner;UseLink;1;
org.apache.tools.ant.taskdefs.XSLTProcess;org.apache.tools.ant.DirectoryScanner;UseLink;1;
org.apache.tools.ant.taskdefs.TaskOutputStream;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;org.apache.tools.ant.Location;Association;1;
org.apache.tools.ant.taskdefs.FixCRLF;org.apache.tools.ant.types.EnumeratedAttribute;UseLink;1;
org.apache.tools.ant.taskdefs.Ant;org.apache.tools.ant.DefaultLogger;UseLink;1;
org.apache.tools.ant.taskdefs.Untar;org.apache.tools.ant.taskdefs.Touch;UseLink;1;
org.apache.tools.ant.types.ZipScanner;org.apache.tools.ant.DirectoryScanner;Inheritance;1;
org.apache.tools.ant.taskdefs.Chmod;org.apache.tools.ant.taskdefs.ExecuteOn;Inheritance;1;
org.apache.tools.ant.ProjectHelper;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.types.EnumeratedAttribute;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Copyfile;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.Target;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Zip;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.util.regexp.JakartaOroMatcher;org.apache.tools.ant.util.regexp.RegexpMatcher;Inheritance;1;
org.apache.tools.ant.taskdefs.Taskdef;org.apache.tools.ant.AntClassLoader;UseLink;1;
org.apache.tools.ant.util.regexp.JakartaRegexpMatcher;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.SendEmail;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.mail.MailMessage;org.apache.tools.mail.MailPrintStream;UseLink;1;
org.apache.tools.ant.taskdefs.ExecTask;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.SendEmail;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.Chmod;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.tar.TarOutputStream;org.apache.tools.tar.TarBuffer;Association;1;
org.apache.tools.ant.taskdefs.Javac;org.apache.tools.ant.DirectoryScanner;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.Javac13;org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;Inheritance;1;
org.apache.tools.ant.taskdefs.XSLTProcess;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.types.FileSet;org.apache.tools.ant.types.DataType;Inheritance;1;
org.apache.tools.ant.taskdefs.Rename;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.taskdefs.Copy;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Jikes;org.apache.tools.ant.Project;Association;1;
org.apache.tools.ant.taskdefs.Replace;org.apache.tools.ant.DirectoryScanner;UseLink;1;
org.apache.tools.ant.taskdefs.Transform;org.apache.tools.ant.types.Mapper;Association;1;
org.apache.tools.ant.types.DataType;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.types.CommandlineJava;org.apache.tools.ant.types.Commandline;Association;1;
org.apache.tools.ant.taskdefs.compilers.Javac13;org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;UseLink;1;
org.apache.tools.ant.taskdefs.Chmod;org.apache.tools.ant.taskdefs.ExecuteOn;UseLink;1;
org.apache.tools.ant.taskdefs.Delete;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Mkdir;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.GenerateKey;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Zip;org.apache.tools.ant.types.ZipFileSet;UseLink;1;
org.apache.tools.ant.Task;org.apache.tools.ant.Target;UseLink;1;
org.apache.tools.ant.util.RegexpPatternMapper;org.apache.tools.ant.util.regexp.RegexpMatcher;Association;1;
org.apache.tools.ant.taskdefs.Copy;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.util.GlobPatternMapper;org.apache.tools.ant.util.FileNameMapper;Inheritance;1;
org.apache.tools.ant.ProjectHelper;org.apache.tools.ant.Project;Association;1;
org.apache.tools.ant.taskdefs.Expand;org.apache.tools.ant.taskdefs.Touch;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.Javac12;org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;Inheritance;1;
org.apache.tools.tar.TarInputStream;org.apache.tools.tar.TarEntry;UseLink;1;
org.apache.tools.ant.DefaultLogger;org.apache.tools.ant.Target;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;org.apache.tools.ant.types.FileSet;UseLink;1;
org.apache.tools.ant.taskdefs.Property;org.apache.tools.ant.types.Reference;Association;1;
org.apache.tools.ant.taskdefs.Copydir;org.apache.tools.ant.taskdefs.MatchingTask;Inheritance;1;
org.apache.tools.ant.taskdefs.Get;org.apache.tools.ant.taskdefs.Touch;UseLink;1;
org.apache.tools.ant.Project;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.types.FileSet;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.ExecuteOn;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.types.FileSet;org.apache.tools.ant.types.DataType;UseLink;1;
org.apache.tools.ant.taskdefs.Copy;org.apache.tools.ant.util.FlatFileNameMapper;UseLink;1;
org.apache.tools.ant.taskdefs.Cvs;org.apache.tools.ant.taskdefs.LogOutputStream;UseLink;1;
org.apache.tools.ant.taskdefs.Replace;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.SendEmail;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.Javac12;org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;UseLink;1;
org.apache.tools.ant.taskdefs.Cvs;org.apache.tools.ant.taskdefs.LogStreamHandler;UseLink;1;
org.apache.tools.ant.taskdefs.ExecuteOn;org.apache.tools.ant.taskdefs.ExecTask;UseLink;1;
org.apache.tools.ant.UnknownElement;org.apache.tools.ant.Target;UseLink;1;
org.apache.tools.ant.taskdefs.SignJar;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.BuildEvent;org.apache.tools.ant.Project;Association;1;
org.apache.tools.ant.taskdefs.Javac;org.apache.tools.ant.taskdefs.compilers.CompilerAdapter;UseLink;1;
org.apache.tools.ant.taskdefs.Jar;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Zip;org.apache.tools.ant.DirectoryScanner;UseLink;1;
org.apache.tools.ant.Task;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.types.DataType;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.UpToDate;org.apache.tools.ant.taskdefs.MatchingTask;Inheritance;1;
org.apache.tools.ant.taskdefs.Zip;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.SignJar;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.taskdefs.Ant;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.ExecTask;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.Filter;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.types.PatternSet;org.apache.tools.ant.ProjectHelper;UseLink;1;
org.apache.tools.ant.taskdefs.ExecuteOn;org.apache.tools.ant.taskdefs.ExecTask;Inheritance;1;
org.apache.tools.ant.taskdefs.Property;org.apache.tools.ant.types.Reference;UseLink;1;
org.apache.tools.ant.taskdefs.Javac;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.tar.TarOutputStream;org.apache.tools.tar.TarBuffer;UseLink;1;
org.apache.tools.ant.Task;org.apache.tools.ant.Target;Association;1;
org.apache.tools.ant.taskdefs.Ant;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Cvs;org.apache.tools.ant.taskdefs.Execute;UseLink;1;
org.apache.tools.ant.util.RegexpPatternMapper;org.apache.tools.ant.util.regexp.RegexpMatcher;UseLink;1;
org.apache.tools.ant.util.RegexpPatternMapper;org.apache.tools.ant.util.FileNameMapper;Inheritance;1;
org.apache.tools.ant.BuildListener;org.apache.tools.ant.BuildEvent;UseLink;1;
org.apache.tools.ant.taskdefs.ExecTask;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.mail.MailMessage;org.apache.tools.mail.SmtpResponseReader;Association;1;
org.apache.tools.ant.types.PatternSet;org.apache.tools.ant.types.Reference;UseLink;1;
org.apache.tools.ant.taskdefs.Copy;org.apache.tools.ant.util.SourceFileScanner;UseLink;1;
org.apache.tools.ant.taskdefs.MatchingTask;org.apache.tools.ant.types.PatternSet;UseLink;1;
org.apache.tools.ant.NoBannerLogger;org.apache.tools.ant.Target;UseLink;1;
org.apache.tools.ant.taskdefs.Replace;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.BuildLogger;org.apache.tools.ant.BuildListener;Inheritance;1;
org.apache.tools.ant.taskdefs.ExecuteOn;org.apache.tools.ant.DirectoryScanner;UseLink;1;
org.apache.tools.ant.types.FileSet;org.apache.tools.ant.DirectoryScanner;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Property;org.apache.tools.ant.AntClassLoader;UseLink;1;
org.apache.tools.ant.taskdefs.UpToDate;org.apache.tools.ant.util.MergingMapper;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.Jikes;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.Copy;org.apache.tools.ant.util.IdentityMapper;UseLink;1;
org.apache.tools.ant.Target;org.apache.tools.ant.Location;UseLink;1;
org.apache.tools.ant.taskdefs.Javadoc;org.apache.tools.ant.taskdefs.Execute;UseLink;1;
org.apache.tools.ant.taskdefs.KeySubst;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.taskdefs.JavacOutputStream;org.apache.tools.ant.Task;Association;1;
org.apache.tools.ant.taskdefs.Jar;org.apache.tools.ant.types.ZipFileSet;UseLink;1;
org.apache.tools.ant.taskdefs.Jikes;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Java;org.apache.tools.ant.taskdefs.LogStreamHandler;UseLink;1;
org.apache.tools.ant.taskdefs.Ant;org.apache.tools.ant.ProjectHelper;UseLink;1;
org.apache.tools.ant.BuildException;org.apache.tools.ant.Location;Association;1;
org.apache.tools.ant.taskdefs.Java;org.apache.tools.ant.types.CommandlineJava;UseLink;1;
org.apache.tools.ant.types.Mapper;org.apache.tools.ant.Project;Association;1;
org.apache.tools.ant.taskdefs.Java;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.Zip;org.apache.tools.ant.util.SourceFileScanner;UseLink;1;
org.apache.tools.ant.taskdefs.Ant;org.apache.tools.ant.Task;Inheritance;1;
org.apache.tools.ant.taskdefs.AntStructure;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.Patch;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.Javac;org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory;UseLink;1;
org.apache.tools.ant.taskdefs.UpToDate;org.apache.tools.ant.util.SourceFileScanner;UseLink;1;
org.apache.tools.ant.XmlLogger;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Filter;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Java;org.apache.tools.ant.types.Reference;UseLink;1;
org.apache.tools.ant.taskdefs.Ant;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Available;org.apache.tools.ant.AntClassLoader;UseLink;1;
org.apache.tools.ant.Project;org.apache.tools.ant.TaskAdapter;UseLink;1;
org.apache.tools.ant.taskdefs.ExecTask;org.apache.tools.ant.taskdefs.LogStreamHandler;UseLink;1;
org.apache.tools.ant.taskdefs.Expand;org.apache.tools.ant.Project;UseLink;1;
org.apache.tools.ant.taskdefs.Move;org.apache.tools.ant.taskdefs.Copy;UseLink;1;
org.apache.tools.ant.BuildEvent;org.apache.tools.ant.Task;Association;1;
org.apache.tools.ant.taskdefs.Zip;org.apache.tools.ant.util.MergingMapper;UseLink;1;
org.apache.tools.ant.taskdefs.ExecuteJava;org.apache.tools.ant.AntClassLoader;UseLink;1;
org.apache.tools.ant.taskdefs.Jikes;org.apache.tools.ant.taskdefs.JikesOutputParser;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.Jvc;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.compilers.CompilerAdapter;org.apache.tools.ant.BuildException;UseLink;1;
org.apache.tools.ant.taskdefs.XSLTProcess;org.apache.tools.ant.taskdefs.XSLTLiaison;Association;1;
org.apache.tools.ant.DefaultLogger;org.apache.tools.ant.BuildEvent;UseLink;1;
org.apache.tools.ant.taskdefs.Move;org.apache.tools.ant.types.FileSet;UseLink;1;
org.apache.tools.ant.taskdefs.FixCRLF;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.KeySubst;org.apache.tools.ant.Task;UseLink;1;
org.apache.tools.ant.taskdefs.Javac;org.apache.tools.ant.util.GlobPatternMapper;UseLink;1;
org.apache.tools.ant.taskdefs.Transform;org.apache.tools.ant.DirectoryScanner;UseLink;1;
