;org.apache.tools.ant.taskdefs.JikesOutputParser;org.apache.tools.ant.taskdefs.AntStructure;org.apache.tools.ant.taskdefs.Ant;org.apache.tools.ant.taskdefs.XSLTLiaison;org.apache.tools.ant.taskdefs.War;org.apache.tools.tar.TarConstants;org.apache.tools.ant.taskdefs.Chmod;org.apache.tools.ant.taskdefs.Patch;org.apache.tools.ant.taskdefs.GZip;org.apache.tools.ant.taskdefs.CallTarget;org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;org.apache.tools.ant.util.regexp.JakartaRegexpMatcher;org.apache.tools.ant.RuntimeConfigurable;org.apache.tools.ant.taskdefs.ExecuteJava;org.apache.tools.ant.taskdefs.SendEmail;org.apache.tools.ant.taskdefs.Untar;org.apache.tools.ant.taskdefs.KeySubst;org.apache.tools.ant.types.Mapper;org.apache.tools.ant.taskdefs.Execute;org.apache.tools.ant.NoBannerLogger;org.apache.tools.ant.taskdefs.FixCRLF;org.apache.tools.ant.taskdefs.Copydir;org.apache.tools.ant.taskdefs.ExecuteWatchdog;org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory;org.apache.tools.ant.taskdefs.Copy;org.apache.tools.ant.taskdefs.Copyfile;org.apache.tools.ant.taskdefs.Transform;org.apache.tools.ant.taskdefs.Filter;org.apache.tools.ant.taskdefs.GenerateKey;org.apache.tools.ant.taskdefs.Javadoc;org.apache.tools.ant.util.MergingMapper;org.apache.tools.ant.types.ZipScanner;org.apache.tools.ant.Main;org.apache.tools.ant.taskdefs.Tar;org.apache.tools.ant.types.DataType;org.apache.tools.ant.taskdefs.Touch;org.apache.tools.ant.TaskAdapter;org.apache.tools.ant.taskdefs.Rmic;org.apache.tools.ant.taskdefs.JavacOutputStream;org.apache.tools.ant.util.GlobPatternMapper;org.apache.tools.ant.taskdefs.MatchingTask;org.apache.tools.ant.BuildException;org.apache.tools.mail.MailPrintStream;org.apache.tools.ant.taskdefs.Jikes;org.apache.tools.ant.taskdefs.Exec;org.apache.tools.ant.taskdefs.PumpStreamHandler;org.apache.tools.ant.types.EnumeratedAttribute;org.apache.tools.tar.TarInputStream;org.apache.tools.tar.TarUtils;org.apache.tools.ant.taskdefs.Replace;org.apache.tools.ant.util.RegexpPatternMapper;org.apache.tools.ant.taskdefs.UpToDate;org.apache.tools.ant.types.Commandline;org.apache.tools.tar.TarBuffer;org.apache.tools.ant.PathTokenizer;org.apache.tools.ant.Task;org.apache.tools.ant.taskdefs.Expand;org.apache.tools.ant.types.CommandlineJava;org.apache.tools.ant.util.FileNameMapper;org.apache.tools.ant.taskdefs.Available;org.apache.tools.ant.taskdefs.ExecTask;org.apache.tools.ant.util.SourceFileScanner;org.apache.tools.ant.util.DOMElementWriter;org.apache.tools.tar.TarEntry;org.apache.tools.ant.taskdefs.CompileTask;org.apache.tools.ant.BuildEvent;org.apache.tools.ant.taskdefs.GUnzip;org.apache.tools.ant.taskdefs.Move;org.apache.tools.ant.types.Environment;org.apache.tools.ant.BuildListener;org.apache.tools.ant.FileScanner;org.apache.tools.ant.util.FlatFileNameMapper;org.apache.tools.ant.taskdefs.Cvs;org.apache.tools.ant.util.IdentityMapper;org.apache.tools.mail.SmtpResponseReader;org.apache.tools.ant.taskdefs.Get;org.apache.tools.ant.taskdefs.compilers.CompilerAdapter;org.apache.tools.ant.types.PatternSet;org.apache.tools.ant.util.regexp.RegexpMatcher;org.apache.tools.ant.XmlLogger;org.apache.tools.tar.TarOutputStream;org.apache.tools.ant.taskdefs.Property;org.apache.tools.ant.UnknownElement;org.apache.tools.ant.Constants;org.apache.tools.ant.Target;org.apache.tools.ant.taskdefs.ExecuteOn;org.apache.tools.ant.taskdefs.LogOutputStream;org.apache.tools.ant.taskdefs.compilers.Jikes;org.apache.tools.ant.taskdefs.Rename;org.apache.tools.ant.types.Path;org.apache.tools.ant.taskdefs.StreamPumper;org.apache.tools.ant.taskdefs.compilers.Javac13;org.apache.tools.ant.taskdefs.compilers.Javac12;org.apache.tools.ant.taskdefs.Delete;org.apache.tools.ant.taskdefs.Taskdef;org.apache.tools.ant.DesirableFilter;org.apache.tools.ant.DirectoryScanner;org.apache.tools.ant.util.regexp.RegexpMatcherFactory;org.apache.tools.ant.taskdefs.Zip;org.apache.tools.ant.util.regexp.JakartaOroMatcher;org.apache.tools.ant.BuildLogger;org.apache.tools.ant.taskdefs.XSLTProcess;org.apache.tools.ant.types.ZipFileSet;org.apache.tools.ant.taskdefs.ExecuteStreamHandler;org.apache.tools.ant.taskdefs.Jar;org.apache.tools.ant.taskdefs.SQLExec;org.apache.tools.ant.taskdefs.TaskOutputStream;org.apache.tools.ant.types.Reference;org.apache.tools.ant.ProjectHelper;org.apache.tools.ant.AntClassLoader;org.apache.tools.ant.Location;org.apache.tools.ant.taskdefs.Javac;org.apache.tools.ant.taskdefs.Mkdir;org.apache.tools.ant.DefaultLogger;org.apache.tools.ant.IntrospectionHelper;org.apache.tools.ant.taskdefs.compilers.Jvc;org.apache.tools.ant.types.FileSet;org.apache.tools.ant.Project;org.apache.tools.ant.taskdefs.Deltree;org.apache.tools.mail.MailMessage;org.apache.tools.ant.taskdefs.Tstamp;org.apache.tools.ant.taskdefs.Java;org.apache.tools.ant.taskdefs.LogStreamHandler;org.apache.tools.ant.taskdefs.Echo;org.apache.tools.ant.taskdefs.Exit;org.apache.tools.ant.taskdefs.SignJar;
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;2;0;0;0;0;1;0;0;0;
org.apache.tools.ant.util.regexp.JakartaRegexpMatcher;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
org.apache.tools.ant.RuntimeConfigurable;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.ExecuteJava;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.SendEmail;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.Untar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.KeySubst;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
org.apache.tools.ant.types.Mapper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.Execute;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
org.apache.tools.ant.NoBannerLogger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.FixCRLF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.Copydir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.ExecuteWatchdog;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.Copy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.Copyfile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.Transform;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.Filter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.GenerateKey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
org.apache.tools.ant.taskdefs.Javadoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;
org.apache.tools.ant.util.MergingMapper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
